Recipe: SPHLT3399003JS_R01D
Product: SPHLT3399003JS_R01D

Feeder Setup
Machine #,Machine Name,Table,Slot,SubSlot,Part,Supply,Placements,"SPHLT3399003JS_R01D Designators",ThinTypeSingle,T.G.
1,"NPM-1",1,10001,,,,,,,
1,"NPM-1",1,10002,,,,,,,
1,"NPM-1",1,10003,,,,,,,
1,"NPM-1",1,10004,,,,,,,
1,"NPM-1",1,10005,L,"20018020FN60A",P0802_S,2,"AR93",,B
1,"NPM-1",1,10005,R,"1020A1000114J",P0802_S,2,"L901",,B
1,"NPM-1",1,10006,L,"20018000FN60J",P0802_S,2,"AR265",,B
1,"NPM-1",1,10006,R,"200178100000J",P0802_S,2,"R125",,B
1,"NPM-1",1,10007,L,"102010401100J",P0802_S,2,"AL4",,B
1,"NPM-1",1,10007,R,"102100045100A",P0802_S,36,"FB902,FB903,FB904,FB905,FB906,FB907,FB908,FB909,FB910,FB911,FB912,FB913,FB914,FB915,FB917,FB918,WFB2,WFB3",,B
1,"NPM-1",1,10008,L,"20040220A005J",P0802_S,2,"R171",,B
1,"NPM-1",1,10008,R,"2041043A0058J",P0802_S,141,"AC1078,AC1084,AC1087,AC1092,AC1094,AC133,AC146,AC147,AC151,AC154,AC157,AC187,AC188,AC193,AC195,AC196,AC199,AC203,AC205,AC207,AC22,AC249,AC255,AC311,AC313,AC317,AC359,AC360,AC361,AC362,AC363,AC367,AC380,AC385,AC386,AC387,AC6,AC62,AC63,AC676,AC678,AC684,AC685,AC686,AC687,AC7,AC81,AC845,AC846,C100,C1091,C1094,C1100,C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1108,C1109,C1110,C1111,C1112,C1130,C1131,C1132,C1133,C1134,C1135,C1136,C1137,C118,C127,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C223,C224,C229,C231,C234,C251,C822,C824,C832,C833,C834,C835,C836,C837,C838,C839,C842,C856,C857,C858,C903,C904,C905,C906,C907,C909,C911,C912,C913,C93,C931,C932,C933,C934,C935,C936,C937,C938,CC11,CC7,WC14,WC15,WC16,WC23,WC24,WC25,WC27,WC39,WC61,WC62",,B
1,"NPM-1",1,10009,L,"20010000FN60J",P0802_S,2,"AR263",,B
1,"NPM-1",1,10009,R,"",,0,"",,
1,"NPM-1",1,10010,,,,,,,
1,"NPM-1",1,10011,,,,,,,
1,"NPM-1",1,10012,,,,,,,
1,"NPM-1",1,10013,,,,,,,
1,"NPM-1",1,10014,,,,,,,
1,"NPM-1",1,10015,,,,,,,
1,"NPM-1",1,10016,,,,,,,
1,"NPM-1",1,10017,,,,,,,
1,"NPM-1",2,20001,,,,,,,
1,"NPM-1",2,20002,,,,,,,
1,"NPM-1",2,20003,,,,,,,
1,"NPM-1",2,20004,,,,,,,
1,"NPM-1",2,20005,L,"20040210A010J",P0802_S,2,"R807",,B
1,"NPM-1",2,20005,R,"2041013JH100J",P0802_S,4,"AC1,C808",,B
1,"NPM-1",2,20006,L,"200300100005J",P0802_S,2,"R199",,B
1,"NPM-1",2,20006,R,"2041043A0058J",P0802_S,87,"AC1087,AC133,AC146,AC147,AC151,AC154,AC163,AC187,AC188,AC189,AC193,AC195,AC207,AC22,AC232,AC233,AC249,AC250,AC30,AC311,AC317,AC360,AC361,AC362,AC367,AC385,AC387,AC6,AC63,AC670,AC676,AC678,AC684,AC687,C1091,C1094,C1101,C1102,C1107,C1108,C1111,C1112,C1132,C1133,C1135,C1136,C1137,C116,C127,C201,C203,C204,C206,C207,C209,C210,C211,C214,C215,C216,C229,C234,C824,C834,C835,C856,C857,C858,C904,C906,C907,C909,C911,C912,C93,C931,C934,C935,C936,C937,C938,WC14,WC23,WC27,WC39,WC62,WC63",,B
1,"NPM-1",2,20007,L,"204102000014J",P0802_S,2,"C1140",,B
1,"NPM-1",2,20007,R,"2041043A0058J",P0802_S,67,"AC1078,AC1084,AC1092,AC1094,AC157,AC161,AC167,AC175,AC190,AC192,AC196,AC199,AC203,AC205,AC231,AC241,AC242,AC252,AC255,AC313,AC359,AC363,AC380,AC386,AC62,AC685,AC686,AC7,AC81,AC845,AC846,C100,C1100,C1103,C1104,C1105,C1106,C1109,C1110,C1130,C1131,C1134,C118,C202,C205,C208,C212,C213,C231,C251,C825,C842,C855,C903,C905,C913,C932,C933,CC11,WC15,WC16,WC24,WC25,WC40,WC48,WC60,WC61",,B
1,"NPM-1",2,20008,L,"204105000021J",P0802_S,2,"WC13",,B
1,"NPM-1",2,20008,R,"20002200A030J",P0802_S,18,"AR138,AR139,AR140,AR141,AR142,AR143,AR144,AR145,AR146",,A
1,"NPM-1",2,20009,L,"20056000FN61E",P0802_S,2,"RC13",,B
1,"NPM-1",2,20009,R,"",,0,"",,
1,"NPM-1",2,20010,,,,,,,
1,"NPM-1",2,20011,,,,,,,
1,"NPM-1",2,20012,,,,,,,
1,"NPM-1",2,20013,,,,,,,
1,"NPM-1",2,20014,,,,,,,
1,"NPM-1",2,20015,,,,,,,
1,"NPM-1",2,20016,,,,,,,
1,"NPM-1",2,20017,,,,,,,
2,"NPM-2",1,30001,,,,,,,
2,"NPM-2",1,30002,,,,,,,
2,"NPM-2",1,30003,,,,,,,
2,"NPM-2",1,30004,,,,,,,
2,"NPM-2",1,30005,L,"2044753A0009J",P0802_S,8,"AC19,AC675,AC677,AC853",,B
2,"NPM-2",1,30005,R,"20010000JN60E",P0802_S,18,"AR1,AR185,AR2,AR200,AR211,AR226,AR236,AR278,AR330",,B
2,"NPM-2",1,30006,L,"20010010A015J",P0802_S,10,"AR362,AR681,AR682,AR7,R219",,B
2,"NPM-2",1,30006,R,"204102000014J",P0802_S,24,"AC1079,AC1085,AC1088,AC1093,AC138,AC194,AC197,AC204,AC206,AC208,C944,C950,C952,C954,C956,C961",,B
2,"NPM-2",1,30007,L,"2043323A0000J",P0802_S,12,"C165,C166,C167,C180,C184,C189",,B
2,"NPM-2",1,30007,R,"204102000014J",P0802_S,22,"AC1079,AC1085,AC1088,AC1095,AC138,AC159,AC204,AC208,C1120,C1122,C946,C950,C956,C959,C962",,B
